model,average_precision_mean,average_precision_std,f1_mean,f1_std,recall_mean,recall_std,accuracy_mean,accuracy_std
Logistic Regression,0.6052719068550613,0.08162228887976958,0.4993929825173469,0.021046580140973166,0.7368421052631579,0.04707511531578505,0.7610313739632166,0.018787417445966906
Random Forest,0.5689447174218134,0.04795947488515434,0.4242737711590171,0.08371290825142641,0.3315789473684211,0.08900807644888296,0.8579733141002525,0.014801247554146243
Decision Tree,0.3569767024475586,0.05231752184418205,0.3574411291714922,0.022107392600135865,0.5157894736842105,0.08421052631578947,0.7014785430941218,0.03832547598967734
Majority baseline,0.16156509195816807,0.0002740714028128477,0.0,0.0,0.0,0.0,0.838434908041832,0.0002740714028128366
